"WPdb-No";"WPdb-Name";"WPdb-NominalWeight";"WPdb-Overfill1";"WPdb-Overfill2";"WPdb-Cutoff1";"WPdb-Cutoff2";"WPdb-BulkCutoff1";"WPdb-BulkCutoff2";"WPdb-DFTime";"WPdb-CatchGateDelay";"WPdb-UnderWeight";"WPdb-OverWeight";"WPdb-DischargeWeight";"WPdb-DischargeTime";"WPdb-FallingTime";"WPdb-MinFeeding1";"WPdb-MinFeeding2";"WPdb-MaxFeeding1";"WPdb-MaxFeeding2";"WPdb-StreamRegConfig";"WPdb-ActuatorPos1";"WPdb-ActuatorPos2";"WPdb-WeighmentsPerUnit";"WPdb-FeedDelayTime";"WPdb-VibratoryDischDoors";"WPdb-ZeroingOpen";"WPdb-SlowCycleEnd";"WPdb-EnabledScale";"WPdb-TopUpOFFTime";"WPdb-TopUpONTime";"WPdb-KnockningTime";"WPdb-BagInflationTime";"WPdb-FeedAlgoType";"WPdb-Unit";"WPdb-FlexSP1";"WPdb-FlexSP2";"WPdb-FlexT1";"WPdb-FlexT2";"WPdb-CountAll";"WPdb-ProdUnderWeightCnt[0]";"WPdb-ProdUnderWeightCnt[1]";"WPdb-ProdOverWeightCnt[0]";"WPdb-ProdOverWeightCnt[1]";"WPdb-ProdTotalUnitsCnt[0]";"WPdb-ProdTotalUnitsCnt[1]";"WPdb-ProdTotalWeight_1";"WPdb-ProdTotalWeight_2";"WPdb-SlowFillFactor";"WPdb-CPSmFastAvgPoints1[0]";"WPdb-CPSmFastAvgPoints1[1]";"WPdb-CPSmSlowAvgPoints1[0]";"WPdb-CPSmSlowAvgPoints1[1]";"WPdb-CPSmSlowItpPoints1[0]";"WPdb-CPSmSlowItpPoints1[1]";"WPdb-CPSmSlowItpPoints1[2]";"WPdb-CPSmSlowItpPoints1[3]";"WPdb-CPSmSlowItpPoints1[4]";"WPdb-CPSmSlowItpPoints1[5]";"WPdb-CPSmSlowItpPoints1[6]";"WPdb-CPSmSlowItpPoints1[7]";"WPdb-CPSmSwitchTime1";"WPdb-CPFlFastPoints1[0]";"WPdb-CPFlFastPoints1[1]";"WPdb-CPFlDeviationPoints1[0]";"WPdb-CPFlDeviationPoints1[1]";"WPdb-CPFlDeviationPoints1[2]";"WPdb-CPFlDeviationPoints1[3]";"WPdb-CPSmFastAvgPoints2[0]";"WPdb-CPSmFastAvgPoints2[1]";"WPdb-CPSmSlowAvgPoints2[0]";"WPdb-CPSmSlowAvgPoints2[1]";"WPdb-CPSmSlowItpPoints2[0]";"WPdb-CPSmSlowItpPoints2[1]";"WPdb-CPSmSlowItpPoints2[2]";"WPdb-CPSmSlowItpPoints2[3]";"WPdb-CPSmSlowItpPoints2[4]";"WPdb-CPSmSlowItpPoints2[5]";"WPdb-CPSmSlowItpPoints2[6]";"WPdb-CPSmSlowItpPoints2[7]";"WPdb-CPSmSwitchTime2";"WPdb-CPFlFastPoints2[0]";"WPdb-CPFlFastPoints2[1]";"WPdb-CPFlDeviationPoints2[0]";"WPdb-CPFlDeviationPoints2[1]";"WPdb-CPFlDeviationPoints2[2]";"WPdb-CPFlDeviationPoints2[3]";"WPdb-KickerCenterTime";"WPdb-KickerActivateTime";"WPdb-TuneiQFeed";"WPdb-FlexCounter";"WPdb-BFTime1";"WPdb-BFTime2";"WPdb-BulkMode";"WPdb-VibrationAmplitude";"WPdb-VibrationPeriod"
         1;"Weigh Program 1"; 25.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00; 24.90; 25.50; 25.00; 0.80; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    1; 0.35;0;0;         0;         2; 0.00; 0.00; 0.00; 0.00;         1;"kg";  0.00;  0.00; 3.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"4.262206:3.689642:3.473477:3.525544:3.508455:3.586024:3.595145:";"3.619679:3.615737";"1.287194:1.257424:1.252270:1.256890:1.196038:1.221616:1.248794:";"1.227750:1.285457:1.189121:1.287194";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"3.885523:3.522128:3.504953:3.220632:3.383022:3.517466:3.513898:";"3.662097:3.618978:3.386896";"1.345543:1.349863:1.363703:1.260125:1.255097:1.272194:1.322122:";"1.254942:1.313576:1.197948";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.01; 0.00;0;0.00;0.00
         2;"Free 2";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    1; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         3;         3;       74.9400000000;       74.9100000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
         3;"Free 3";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
         4;"Free 4";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
         5;"Free 5";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
         6;"Free 6";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
         7;"Free 7";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
         8;"Free 8";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
         9;"Free 9";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        10;"Free 10";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        11;"Free 11";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        12;"Free 12";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        13;"Free 13";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        14;"Free 14";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        15;"Free 15";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        16;"Free 16";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        17;"Free 17";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        18;"Free 18";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        19;"Free 19";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        20;"Free 20";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        21;"Free 21";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        22;"Free 22";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        23;"Free 23";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        24;"Free 24";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        25;"Free 25";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        26;"Free 26";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        27;"Free 27";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        28;"Free 28";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        29;"Free 29";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        30;"Free 30";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        31;"Free 31";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        32;"Free 32";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
