"WPdb-No";"WPdb-Name";"WPdb-NominalWeight";"WPdb-Overfill1";"WPdb-Overfill2";"WPdb-Cutoff1";"WPdb-Cutoff2";"WPdb-BulkCutoff1";"WPdb-BulkCutoff2";"WPdb-DFTime";"WPdb-CatchGateDelay";"WPdb-UnderWeight";"WPdb-OverWeight";"WPdb-DischargeWeight";"WPdb-DischargeTime";"WPdb-FallingTime";"WPdb-MinFeeding1";"WPdb-MinFeeding2";"WPdb-MaxFeeding1";"WPdb-MaxFeeding2";"WPdb-StreamRegConfig";"WPdb-ActuatorPos1";"WPdb-ActuatorPos2";"WPdb-WeighmentsPerUnit";"WPdb-FeedDelayTime";"WPdb-VibratoryDischDoors";"WPdb-ZeroingOpen";"WPdb-SlowCycleEnd";"WPdb-EnabledScale";"WPdb-TopUpOFFTime";"WPdb-TopUpONTime";"WPdb-KnockningTime";"WPdb-BagInflationTime";"WPdb-FeedAlgoType";"WPdb-Unit";"WPdb-FlexSP1";"WPdb-FlexSP2";"WPdb-FlexT1";"WPdb-FlexT2";"WPdb-CountAll";"WPdb-ProdUnderWeightCnt[0]";"WPdb-ProdUnderWeightCnt[1]";"WPdb-ProdOverWeightCnt[0]";"WPdb-ProdOverWeightCnt[1]";"WPdb-ProdTotalUnitsCnt[0]";"WPdb-ProdTotalUnitsCnt[1]";"WPdb-ProdTotalWeight_1";"WPdb-ProdTotalWeight_2";"WPdb-SlowFillFactor";"WPdb-CPSmFastAvgPoints1[0]";"WPdb-CPSmFastAvgPoints1[1]";"WPdb-CPSmSlowAvgPoints1[0]";"WPdb-CPSmSlowAvgPoints1[1]";"WPdb-CPSmSlowItpPoints1[0]";"WPdb-CPSmSlowItpPoints1[1]";"WPdb-CPSmSlowItpPoints1[2]";"WPdb-CPSmSlowItpPoints1[3]";"WPdb-CPSmSlowItpPoints1[4]";"WPdb-CPSmSlowItpPoints1[5]";"WPdb-CPSmSlowItpPoints1[6]";"WPdb-CPSmSlowItpPoints1[7]";"WPdb-CPSmSwitchTime1";"WPdb-CPFlFastPoints1[0]";"WPdb-CPFlFastPoints1[1]";"WPdb-CPFlDeviationPoints1[0]";"WPdb-CPFlDeviationPoints1[1]";"WPdb-CPFlDeviationPoints1[2]";"WPdb-CPFlDeviationPoints1[3]";"WPdb-CPSmFastAvgPoints2[0]";"WPdb-CPSmFastAvgPoints2[1]";"WPdb-CPSmSlowAvgPoints2[0]";"WPdb-CPSmSlowAvgPoints2[1]";"WPdb-CPSmSlowItpPoints2[0]";"WPdb-CPSmSlowItpPoints2[1]";"WPdb-CPSmSlowItpPoints2[2]";"WPdb-CPSmSlowItpPoints2[3]";"WPdb-CPSmSlowItpPoints2[4]";"WPdb-CPSmSlowItpPoints2[5]";"WPdb-CPSmSlowItpPoints2[6]";"WPdb-CPSmSlowItpPoints2[7]";"WPdb-CPSmSwitchTime2";"WPdb-CPFlFastPoints2[0]";"WPdb-CPFlFastPoints2[1]";"WPdb-CPFlDeviationPoints2[0]";"WPdb-CPFlDeviationPoints2[1]";"WPdb-CPFlDeviationPoints2[2]";"WPdb-CPFlDeviationPoints2[3]";"WPdb-KickerCenterTime";"WPdb-KickerActivateTime";"WPdb-TuneiQFeed";"WPdb-FlexCounter";"WPdb-BFTime1";"WPdb-BFTime2";"WPdb-BulkMode";"WPdb-VibrationAmplitude";"WPdb-VibrationPeriod"
        33;"Free 33";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        34;"Free 34";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        35;"Free 35";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        36;"Free 36";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        37;"Free 37";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        38;"Free 38";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        39;"Free 39";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        40;"Free 40";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        41;"Free 41";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        42;"Free 42";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        43;"Free 43";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        44;"Free 44";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        45;"Free 45";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        46;"Free 46";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        47;"Free 47";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        48;"Free 48";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        49;"Free 49";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        50;"Free 50";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        51;"Free 51";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        52;"Free 52";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        53;"Free 53";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        54;"Free 54";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        55;"Free 55";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        56;"Free 56";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        57;"Free 57";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        58;"Free 58";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        59;"Free 59";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        60;"Free 60";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        61;"Free 61";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        62;"Free 62";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        63;"Free 63";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        64;"Free 64";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        65;"Free 65";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        66;"Free 66";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        67;"Free 67";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        68;"Free 68";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        69;"Free 69";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        70;"Free 70";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
